item,org,date,quantity
3959294,1619228,2018-10-01,4546.0
3959294,1619228,2018-11-01,2971.0
3959294,1619228,2018-12-01,2025.0
3959294,1619228,2019-01-01,898.0
3959294,1619228,2019-02-01,806.0
3959294,1619228,2019-03-01,1847.0
3959294,1619228,2019-04-01,3649.0
3959294,1619228,2019-05-01,3057.0
3959294,1619228,2019-06-01,2643.0
3959294,1619228,2019-07-01,3581.0
3959294,1619228,2019-08-01,3899.0
3959294,1619228,2019-09-01,3525.0
3959294,1619228,2019-10-01,3322.0
3959294,1619228,2019-11-01,2481.0
3959294,1619228,2019-12-01,4392.0
3959294,1619228,2020-01-01,2801.0
3959294,1619228,2020-02-01,2899.0
3959294,1619228,2020-03-01,3198.0
3959294,1619228,2020-04-01,1846.0
3959294,1619228,2020-05-01,2485.0
3959294,1619228,2020-06-01,3622.0
3959294,1619228,2020-07-01,2969.0
3959294,1619228,2020-08-01,2765.0
3959294,1619228,2020-09-01,3391.0
3959294,1619228,2020-10-01,3288.0
3959294,1619228,2020-11-01,2692.0
3959294,1619228,2020-12-01,3895.0
3959294,1619228,2021-01-01,2805.0
3959294,1619228,2021-02-01,3041.0
3959294,40022636,2014-03-01,2641.0
3959294,40022636,2014-04-01,2925.0
3959294,40022636,2014-05-01,4236.0
3959294,40022636,2014-06-01,3408.0
3959294,40022636,2014-07-01,3154.0
3959294,40022636,2014-08-01,3480.0
3959294,40022636,2014-09-01,3624.0
3959294,40022636,2014-10-01,4381.0
3959294,40022636,2014-11-01,3920.0
3959294,40022636,2014-12-01,3426.0
3959294,40022636,2015-01-01,2902.0
3959294,40022636,2015-02-01,4038.0
3959294,40022636,2015-03-01,3601.0
3959294,40022636,2015-04-01,2873.0
3959294,40022636,2015-05-01,2857.0
3959294,40022636,2015-06-01,2712.0
3959294,40022636,2015-07-01,2461.0
3959294,40022636,2015-08-01,3363.0
3959294,40022636,2015-09-01,2727.0
3959294,40022636,2015-10-01,2482.0
3959294,40022636,2015-11-01,3970.0
3959294,40022636,2015-12-01,3333.0
3959294,40022636,2016-01-01,2303.0
3959294,40022636,2016-02-01,4243.0
3959294,40022636,2016-03-01,3099.0
3959294,40022636,2016-04-01,2956.0
3959294,40022636,2016-05-01,3954.0
3959294,40022636,2016-06-01,4574.0
3959294,40022636,2016-07-01,3995.0
3959294,40022636,2016-08-01,3627.0
3959294,40022636,2016-09-01,3139.0
3959294,40022636,2016-10-01,4503.0
3959294,40022636,2016-11-01,3066.0
3959294,40022636,2016-12-01,3571.0
3959294,40022636,2017-01-01,2089.0
3959294,40022636,2017-02-01,3288.0
3959294,40022636,2017-03-01,4478.0
3959294,40022636,2017-04-01,3484.0
3959294,40022636,2017-05-01,3215.0
3959294,40022636,2017-06-01,3785.0
3959294,40022636,2017-07-01,4093.0
3959294,40022636,2017-08-01,4554.0
3959294,40022636,2017-09-01,7951.0
3959294,40022636,2017-10-01,6434.0
3959294,40022636,2017-11-01,2848.0
3959294,40022636,2017-12-01,1772.0
3959294,40022636,2018-01-01,2077.0
3959294,40022636,2018-02-01,2498.0
3959294,40022636,2018-03-01,2671.0
3959294,40022636,2018-04-01,3172.0
3959294,40022636,2018-05-01,2553.0
3959294,40022636,2018-06-01,2775.0
3959294,40022636,2018-07-01,3349.0
3959294,40022636,2018-08-01,3276.0
3959294,40022636,2018-09-01,2543.0
3959294,40022636,2018-10-01,3231.0
3959294,40022636,2018-11-01,2345.0
3959294,40022636,2018-12-01,1519.0
3959294,40022636,2019-01-01,1843.0
3959294,40022636,2019-02-01,1251.0
3959294,40022636,2019-03-01,1958.0
3959294,40022636,2019-04-01,2270.0
3959294,40022636,2019-05-01,2279.0
3959294,40022636,2019-06-01,1991.0
3959294,40022636,2019-07-01,5139.0
3959294,40022636,2019-08-01,3065.0
3959294,40022636,2019-09-01,2420.0
3959294,40022636,2019-10-01,2613.0
3959294,40022636,2019-11-01,1940.0
3959294,40022636,2019-12-01,744.0
3959294,40022636,2020-01-01,2377.0
3959294,40022636,2020-02-01,2189.0
3959294,40022636,2020-03-01,3074.0
3959294,40022636,2020-04-01,1257.0
3959294,40022636,2020-05-01,1675.0
3959294,40022636,2020-06-01,2394.0
3959294,40022636,2020-07-01,2429.0
3959294,40022636,2020-08-01,2240.0
3959294,40022636,2020-09-01,2395.0
3959294,40022636,2020-10-01,1892.0
3959294,40022636,2020-11-01,2151.0
3959294,40022636,2020-12-01,1693.0
3959294,40022636,2021-01-01,1633.0
3959294,40022636,2021-02-01,2876.0
3959294,42023714,2014-03-01,8910.0
3959294,42023714,2014-04-01,11579.0
3959294,42023714,2014-05-01,4637.0
3959294,42023714,2014-06-01,11527.0
3959294,42023714,2014-07-01,8359.0
3959294,42023714,2014-08-01,10984.0
3959294,42023714,2014-09-01,9406.0
3959294,42023714,2014-10-01,11694.0
3959294,42023714,2014-11-01,13356.0
3959294,42023714,2014-12-01,14195.0
3959294,42023714,2015-01-01,9778.0
3959294,42023714,2015-02-01,13541.0
3959294,42023714,2015-03-01,12686.0
3959294,42023714,2015-04-01,15030.0
3959294,42023714,2015-05-01,10662.0
3959294,42023714,2015-06-01,12006.0
3959294,42023714,2015-07-01,8479.0
3959294,42023714,2015-08-01,12399.0
3959294,42023714,2015-09-01,10395.0
3959294,42023714,2015-10-01,11725.0
3959294,42023714,2015-11-01,11440.0
3959294,42023714,2015-12-01,14721.0
3959294,42023714,2016-01-01,8705.0
3959294,42023714,2016-02-01,13023.0
3959294,42023714,2016-03-01,13818.0
3959294,42023714,2016-04-01,10285.0
3959294,42023714,2016-05-01,15062.0
3959294,42023714,2016-06-01,13187.0
3959294,42023714,2016-07-01,10889.0
3959294,42023714,2016-08-01,12081.0
3959294,42023714,2016-09-01,10254.0
3959294,42023714,2016-10-01,12138.0
3959294,42023714,2016-11-01,12376.0
3959294,42023714,2016-12-01,15831.0
3959294,42023714,2017-01-01,7877.0
3959294,42023714,2017-02-01,12012.0
3959294,42023714,2017-03-01,12396.0
3959294,42023714,2017-04-01,11456.0
3959294,42023714,2017-05-01,13221.0
3959294,42023714,2017-06-01,8611.0
3959294,42023714,2017-07-01,10365.0
3959294,42023714,2017-08-01,11816.0
3959294,42023714,2017-09-01,18854.0
3959294,42023714,2017-10-01,18129.0
3959294,42023714,2017-11-01,9400.0
3959294,42023714,2017-12-01,9473.0
3959294,42023714,2018-01-01,7058.0
3959294,42023714,2018-02-01,6622.0
3959294,42023714,2018-03-01,6622.0
