,bid2val,N,alpha,gamma,egreedy,design,asynchronous,feedback,num_actions,counterfactual
13,0.9333333333333333,6,0.1,0.99,1,0,1,0,16,0.0
14,1.0,6,0.01,0.0,1,0,0,0,6,0.0
15,0.6666666666666666,2,0.1,0.99,0,1,1,1,16,1.0
16,1.0,6,0.1,0.99,0,0,1,0,16,0.0
17,0.8,2,0.1,0.99,0,1,0,1,6,0.0
18,1.0,6,0.01,0.99,1,1,0,1,6,0.0
19,0.9333333333333333,6,0.1,0.0,1,0,0,0,16,0.0
20,0.3333333333333333,2,0.1,0.99,1,1,1,1,16,1.0
21,0.8,2,0.01,0.0,1,0,1,1,6,1.0
22,1.0,6,0.01,0.0,0,1,0,0,6,0.0
23,0.5333333333333333,2,0.01,0.0,0,1,1,0,16,0.0
24,1.0,2,0.1,0.99,1,0,1,1,6,1.0
25,0.8666666666666667,2,0.1,0.99,1,1,0,1,16,0.0
26,1.0,2,0.1,0.99,1,0,1,0,6,0.0
27,0.8,6,0.01,0.99,1,1,1,0,6,0.0
28,1.0,2,0.01,0.0,0,1,0,1,6,0.0
29,0.9333333333333333,2,0.1,0.99,0,0,1,1,16,1.0
30,0.9333333333333333,6,0.01,0.99,0,1,1,0,16,0.0
31,0.8,2,0.1,0.99,0,1,1,0,6,0.0
32,0.5333333333333333,2,0.01,0.99,0,1,1,0,16,0.0
33,0.8,6,0.01,0.0,0,1,1,0,6,0.0
34,0.8,2,0.01,0.99,1,1,1,0,6,0.0
35,1.0,2,0.01,0.99,0,1,0,1,16,0.0
36,1.0,2,0.1,0.0,1,0,1,0,6,0.0
37,1.0,2,0.01,0.99,0,0,1,1,6,1.0
38,1.0,2,0.1,0.0,0,1,0,0,16,0.0
39,1.0,2,0.01,0.99,1,1,1,0,6,0.0
40,0.9333333333333333,6,0.01,0.0,0,0,0,0,16,0.0
41,0.9333333333333333,2,0.1,0.0,1,0,0,0,16,0.0
42,0.8,6,0.01,0.0,0,0,0,0,6,0.0
43,0.9333333333333333,2,0.1,0.0,0,0,1,0,16,0.0
44,0.8,6,0.01,0.99,0,0,1,1,6,1.0
45,0.8,6,0.1,0.99,0,0,1,0,6,0.0
46,1.0,6,0.1,0.0,1,0,0,0,16,0.0
47,0.9333333333333333,6,0.01,0.99,0,1,1,0,16,0.0
48,0.9333333333333333,6,0.1,0.0,1,0,1,0,16,0.0
49,0.8,2,0.1,0.99,0,0,1,0,6,0.0
50,1.0,6,0.01,0.0,0,1,0,0,16,0.0
51,0.9333333333333333,6,0.1,0.0,0,0,0,1,16,0.0
52,0.9333333333333333,2,0.1,0.99,1,0,0,0,16,0.0
53,1.0,6,0.01,0.0,0,1,0,1,6,0.0
54,0.9333333333333333,2,0.1,0.0,1,0,0,1,16,0.0
55,0.9333333333333333,2,0.1,0.0,0,0,1,0,16,0.0
56,1.0,2,0.1,0.99,1,1,0,0,6,0.0
57,0.8,2,0.01,0.99,1,1,1,1,6,1.0
0,0.9333333333333333,6,0.01,0.99,1,1,1,1,16,1.0
1,0.9333333333333333,2,0.01,0.99,1,0,0,1,16,0.0
2,1.0,2,0.1,0.99,0,1,1,0,6,0.0
3,1.0,2,0.01,0.99,1,1,0,0,6,0.0
4,0.9333333333333333,6,0.1,0.0,0,1,1,0,16,0.0
5,0.8,6,0.1,0.99,1,0,0,1,6,0.0
